0,"('g', 0.9635982103645802)","('o', 0.9622351266443729)","('s', 0.9607423841953278)","('z', 0.9527043253183365)","('ğ', 0.9487796686589718)","('e', 0.9341964945197105)","('t', 0.9213654771447182)","('ö', 0.9163720980286598)","('h', 0.9161309972405434)","('n', 0.9080658555030823)","('ş', 0.9074360206723213)","('ü', 0.9005026370286942)","('b', 0.900222435593605)","('c', 0.8907252475619316)","('m', 0.8873843401670456)","('v', 0.8858337998390198)","('a', 0.8842291086912155)","('ç', 0.8761637881398201)","('d', 0.8735093027353287)","('p', 0.8590559363365173)","('y', 0.8471681028604507)","('f', 0.8374198526144028)","(',', 0.8256691992282867)","('k', 0.8202211856842041)","('r', 0.7295481264591217)","('j', 0.7226499915122986)","('i', 0.46077847480773926)","('ı', 0.33487653732299805)","('l', 0.0)"
1,"('d', 0.9728717915713787)","('ü', 0.9312103316187859)","('ö', 0.9154534637928009)","('ğ', 0.914321169257164)","('a', 0.9036210551857948)","('z', 0.9015837237238884)","('o', 0.8973891735076904)","('s', 0.8918117359280586)","('g', 0.8915303498506546)","('t', 0.8672527074813843)","('v', 0.8597097545862198)","('ş', 0.8560969829559326)","('e', 0.8503760993480682)","('h', 0.8453044146299362)","('n', 0.838282123208046)","('b', 0.8343056887388229)","('m', 0.8301172852516174)","('ç', 0.8217595517635345)","('j', 0.8155438005924225)","('c', 0.8139672875404358)","('y', 0.8112719357013702)","(',', 0.8093888610601425)","('f', 0.787605345249176)","('p', 0.7745849043130875)","('k', 0.7528092116117477)","('r', 0.644242137670517)","('i', 0.4515542984008789)","('ı', 0.3167814612388611)","('l', 0.0)"
2,"('g', 0.9577662833034992)","('o', 0.9554257988929749)","('s', 0.954220574349165)","('ğ', 0.9508898593485355)","('z', 0.9477481804788113)","('e', 0.9298411980271339)","('t', 0.9250334724783897)","('h', 0.9250302091240883)","('ö', 0.9197967201471329)","('b', 0.909975491464138)","('ş', 0.9052715823054314)","('ü', 0.9032483994960785)","('n', 0.9032400846481323)","('c', 0.8977888897061348)","('v', 0.8861264958977699)","('m', 0.8838936239480972)","('ç', 0.8796374648809433)","('a', 0.8762141689658165)","('d', 0.8689813315868378)","('p', 0.8613625466823578)","('y', 0.8498810976743698)","('f', 0.8400275111198425)","('k', 0.8301340490579605)","(',', 0.8176806271076202)","('r', 0.7356620728969574)","('j', 0.7178400754928589)","('i', 0.4595465660095215)","('ı', 0.33286476135253906)","('l', 0.0)"
3,"('m', 0.9851511549204588)","('n', 0.9612883143126965)","('o', 0.9327585101127625)","('ş', 0.9295735359191895)","('g', 0.9139779359102249)","('e', 0.9133230075240135)","('s', 0.9124403074383736)","('z', 0.9061081409454346)","('p', 0.9058168083429337)","('v', 0.9050695672631264)","('t', 0.8935936614871025)","('ç', 0.8920601084828377)","('ğ', 0.8801538124680519)","('c', 0.8776183724403381)","('f', 0.8771585151553154)","('h', 0.8759804293513298)","('y', 0.8756057024002075)","('ö', 0.8601783215999603)","('a', 0.8395085483789444)","('b', 0.8368833959102631)","('ü', 0.8273768275976181)","('d', 0.8215561807155609)","(',', 0.8172621130943298)","('k', 0.7825193703174591)","('r', 0.7618560940027237)","('j', 0.6969250738620758)","('i', 0.4402206540107727)","('ı', 0.325752317905426)","('l', 0.0)"
4,"('ı', 0.7915507256984711)","('i', 0.7332308292388916)","('l', 0.5589292049407959)","(',', 0.2722558379173279)","('a', 0.1923055648803711)","('e', 0.1842557191848755)","('s', 0.16052526235580444)","('g', 0.15327030420303345)","('n', 0.14831209182739258)","('z', 0.1476280689239502)","('o', 0.12660706043243408)","('ğ', 0.10728567838668823)","('ş', 0.10697323083877563)","('b', 0.1019853949546814)","('p', 0.10167086124420166)","('m', 0.09305888414382935)","('d', 0.09233212471008301)","('t', 0.09136569499969482)","('c', 0.08668071031570435)","('h', 0.07855945825576782)","('ü', 0.07202321290969849)","('j', 0.06462180614471436)","('k', 0.056691110134124756)","('ö', 0.055679261684417725)","('ç', 0.05450838804244995)","('r', 0.04638415575027466)","('v', 0.026825010776519775)","('f', 0.020592868328094482)","('y', 0.0)"
5,"('d', 0.9808166492730379)","('ü', 0.9180339500308037)","('a', 0.9114103093743324)","('ğ', 0.9045134633779526)","('ö', 0.903065986931324)","('z', 0.8971491754055023)","('o', 0.8934050276875496)","('s', 0.8882514461874962)","('g', 0.8873323798179626)","('t', 0.8581681400537491)","('v', 0.8527182638645172)","('ş', 0.851547583937645)","('e', 0.8479571789503098)","('n', 0.8365502208471298)","('h', 0.8342572003602982)","('m', 0.8275825679302216)","('b', 0.8229157328605652)","('j', 0.822329118847847)","(',', 0.8162065744400024)","('ç', 0.8131289929151535)","('c', 0.8039364814758301)","('y', 0.8028942197561264)","('f', 0.7798450291156769)","('p', 0.7681473642587662)","('k', 0.7404744923114777)","('r', 0.634831428527832)","('i', 0.4526960253715515)","('ı', 0.3194475769996643)","('l', 0.0)"
6,"('g', 0.9601752310991287)","('o', 0.9594415873289108)","('s', 0.9570174664258957)","('ğ', 0.9517462961375713)","('z', 0.9507964812219143)","('e', 0.9298600852489471)","('t', 0.9228828325867653)","('ö', 0.9206092059612274)","('h', 0.9191154539585114)","('ş', 0.9060559794306755)","('ü', 0.9048273712396622)","('n', 0.9043292924761772)","('b', 0.9035686403512955)","('c', 0.8921224698424339)","('v', 0.8870582208037376)","('m', 0.8850855901837349)","('a', 0.8822769001126289)","('ç', 0.8771428912878036)","('d', 0.8750116229057312)","('p', 0.8577377647161484)","('y', 0.8486799448728561)","('f', 0.8380817919969559)","('k', 0.823284924030304)","(',', 0.8219607323408127)","('r', 0.7298644185066223)","('j', 0.7237094342708588)","('i', 0.4596640467643738)","('ı', 0.333359956741333)","('l', 0.0)"
7,"('h', 0.9775470811873674)","('c', 0.9528583623468876)","('b', 0.9483816288411617)","('t', 0.9350850060582161)","('ğ', 0.923223614692688)","('g', 0.9150745049118996)","('o', 0.9106834232807159)","('s', 0.9099401757121086)","('z', 0.9080389738082886)","('ç', 0.9072335436940193)","('ö', 0.904539629817009)","('e', 0.8985559269785881)","('ş', 0.8954417482018471)","('p', 0.8909108340740204)","('k', 0.8885196596384048)","('v', 0.883488766849041)","('n', 0.8819496110081673)","('ü', 0.8785944432020187)","('m', 0.8710541427135468)","('y', 0.8708609491586685)","('f', 0.8670245409011841)","('d', 0.818953663110733)","('a', 0.8171891272068024)","('r', 0.7914126068353653)","(',', 0.7699901461601257)","('j', 0.6756415069103241)","('i', 0.4499433636665344)","('ı', 0.3170132040977478)","('l', 0.0)"
8,"('g', 0.9608456827700138)","('o', 0.9581682160496712)","('s', 0.957557387650013)","('z', 0.9496914260089397)","('ğ', 0.9487698785960674)","('e', 0.933478370308876)","('t', 0.9234827756881714)","('h', 0.9217071160674095)","('ö', 0.9165970161557198)","('ş', 0.9064446315169334)","('n', 0.9063843861222267)","('b', 0.9063476547598839)","('ü', 0.900137335062027)","('c', 0.8958186134696007)","('m', 0.8858828544616699)","('v', 0.8852542340755463)","('a', 0.8786739110946655)","('ç', 0.8784348666667938)","('d', 0.8687296658754349)","('p', 0.8619226366281509)","('y', 0.848432868719101)","('f', 0.8391516506671906)","('k', 0.82668536901474)","(',', 0.8212656825780869)","('r', 0.7345705628395081)","('j', 0.7178042232990265)","('i', 0.4604679346084595)","('ı', 0.3342247009277344)","('l', 0.0)"
9,"('g', 0.961469504982233)","('o', 0.9593036025762558)","('s', 0.9581152051687241)","('z', 0.9507254436612129)","('ğ', 0.9498633183538914)","('e', 0.9328486025333405)","('t', 0.9241073355078697)","('h', 0.9213254377245903)","('ö', 0.917732797563076)","('ş', 0.9073419272899628)","('n', 0.9066045060753822)","('b', 0.9054081439971924)","('ü', 0.9010284692049026)","('c', 0.8954337388277054)","('v', 0.8864907771348953)","('m', 0.8864816725254059)","('a', 0.8793593496084213)","('ç', 0.878960020840168)","('d', 0.870149090886116)","('p', 0.8616155087947845)","('y', 0.8493025153875351)","('f', 0.839758574962616)","('k', 0.8257775455713272)","(',', 0.8215093016624451)","('r', 0.7338860034942627)","('j', 0.719385176897049)","('i', 0.46021074056625366)","('ı', 0.33377575874328613)","('l', 0.0)"
